,Unnamed: 0,fzf,Unnamed: 0.1,fzr,Unnamed: 0.2,steer_angle,Unnamed: 0.3,r,Unnamed: 0.4,psi,Unnamed: 0.5,wheel_angle,Unnamed: 0.6,vx,Unnamed: 0.7,vy,sideslip_f,sideslip_r,fyft,fyrt,fyf,fyr,beta
64,fzf65,5246.82432029232,fzr65,4575.84687998566,ans65,-0.1,r65,-0.0252575460973984,psi65,-0.0094808167095711,wheel_angle65,-0.0074074074074074,xdot65,14.0,ydot65,0.0576687749808526,0.009000586760426796,0.0012324991822739821,-79.33715581933407,8.68518040820165,-79.33394226723699,8.685173811572447,0.004119174915253101
65,fzf66,5246.81775397261,fzr66,4575.85345915639,ans66,-0.1,r66,-0.0254851687214957,psi66,-0.0097345329328044,wheel_angle66,-0.0074074074074074,xdot66,14.0,ydot66,0.0593672675048952,0.00909909327556371,0.0013277754396812012,-80.20535736071118,9.356586991518107,-80.20203714255432,9.35657874374581,0.004240493690091965
66,fzf67,5246.81110747455,fzr67,4575.86011891239,ans67,-0.1,r67,-0.0257096419822567,psi67,-0.0099905095862728,wheel_angle67,-0.0074074074074074,xdot67,14.0,ydot67,0.0610700563907853,0.009198214783795271,0.0014237135174911956,-81.07897643421013,10.032659414384435,-81.07554652762146,10.032649246485587,0.004362119217255117
67,fzf68,5246.80438344431,fzr68,4575.86685660622,ans68,-0.1,r68,-0.0259310242406846,psi68,-0.0102487154692544,wheel_angle68,-0.0074074074074074,xdot68,14.0,ydot68,0.0627766340167317,0.009297908712542257,0.0015202700573619383,-81.95763775891734,10.713092187602927,-81.95409512020734,10.713079807443238,0.004484015234210767
68,fzf69,5246.79758450254,fzr69,4575.87366961563,ans69,-0.1,r69,-0.0261493725461305,psi69,-0.0105091199580523,wheel_angle69,-0.0074074074074074,xdot69,14.0,ydot69,0.0644865090079518,0.009398133777653488,0.001617403005801284,-82.84097741375241,11.397589014201039,-82.83731897939073,11.397574106200695,0.0046061466390071555
69,fzf70,5246.79071324279,fzr70,4575.8805553452,ans70,-0.1,r70,-0.0263647426684002,psi70,-0.0107716929930387,wheel_angle70,-0.0074074074074074,xdot70,14.0,ydot70,0.0661992057963461,0.009498849949893248,0.0017150715801721712,-83.72864254202554,12.085862549891909,-83.72486523015252,12.085844774792035,0.004728479458826147
70,fzf71,5246.78377222993,fzr71,4575.88751122787,ans71,-0.1,r71,-0.0265771891290514,psi71,-0.011036405066017,wheel_angle71,-0.0074074074074074,xdot71,14.0,ydot71,0.067914264191583,0.009600018422295575,0.0018132362355831391,-84.62029106363079,12.777634169778512,-84.61639177559991,12.777613164467608,0.004850980819351531
71,fzf72,5246.77676399886,fzr72,4575.89453472632,ans72,-0.1,r72,-0.0267867652319041,psi72,-0.0113032272078925,wheel_angle72,-0.0074074074074074,xdot72,14.0,ydot72,0.069631238963301,0.009701601578359538,0.0019118586326375166,-85.5155913946513,13.472633741113235,-85.51156701659828,13.472609118512196,0.00497361891493105
72,fzf73,5246.76969105321,fzr73,4575.90162333423,ans73,-0.1,r73,-0.0269935230927825,psi73,-0.0115721309766441,wheel_angle73,-0.0074074074074074,xdot73,14.0,ydot73,0.0713496994341408,0.009803562961060818,0.0020109016060159434,-86.41422217415528,14.170599401934,-86.41006957858994,14.170570750938216,0.0050963629795116846
73,fzf74,5246.76255586429,fzr74,4575.90877457732,ans74,-0.1,r74,-0.0271975136685077,psi74,-0.0118430884455901,wheel_angle74,-0.0074074074074074,xdot74,14.0,ydot74,0.0730692290833278,0.009905867242655653,0.002110329133867628,-87.31587199797558,14.871277345402996,-87.3115880453925,14.871244230879853,0.005219183258328187
74,fzf75,5246.7553608701,fzr75,4575.91598601444,ans75,-0.1,r75,-0.0273987867851612,psi75,-0.0121160721919401,wheel_angle75,-0.0074074074074074,xdot75,14.0,ydot75,0.0747894251605327,0.010008480195253983,0.002210106307986514,-88.22023915926658,15.574421609680538,-88.21582069977111,15.574383572520576,0.005342050980325432
75,fzf76,5246.74810847445,fzr76,4575.92325523835,ans76,-0.1,r76,-0.027597391165638,psi76,-0.0123910552856258,wheel_angle76,-0.0074074074074074,xdot76,14.0,ydot76,0.0765098983097468,0.010111368662139674,0.0023101993047496133,-89.1270313956442,16.2797938731724,-89.1224752705899,16.279750430392237,0.005464938331295799
