,Unnamed: 0,fzf,Unnamed: 0.6,fzr,Unnamed: 0.7,steer_angle,Unnamed: 0.1,vx,Unnamed: 0.2,vy,Unnamed: 0.3,r,Unnamed: 0.4,psi,Unnamed: 0.5,wheel_angle,sideslip_f,sideslip_r,fyft,fyrt,fyf,fyr,beta
57,fzf58,5291.97225398372,fzr58,4568.71169440635,ans58,0.0187214090129081,xdot58,28.0,ydot58,-0.0106065631077591,r58,0.0030317707108298,psi58,0.0005974385140872,wheel_angle58,0.0013867710379931,-0.0016139852621788425,-0.00020555951472382502,14.349157579325645,-1.44627892457546,14.349138889921974,-1.446278894019409,-0.0003788058071583431
58,fzf59,5291.97191283598,fzr59,4568.71203639795,ans59,0.0190435618128855,xdot59,28.0,ydot59,-0.0112050194614918,r59,0.0031315742186211,psi59,0.0006282540712993,wheel_angle59,0.0014106342083619,-0.0016542309862993107,-0.00022122933864502403,14.706961780289374,-1.5565290390986943,14.706941657639428,-1.5565290010085453,-0.0004001792451198232
59,fzf60,5291.97154829089,fzr60,4568.71240186412,ans60,0.0193653875832714,xdot60,28.0,ydot60,-0.0118237033574165,r60,0.003232774320032,psi60,0.0006600746537593,wheel_angle60,0.0014344731543164,-0.0016951049313647022,-0.00023754165591069446,15.0703510744913,-1.6712996443505348,15.070329423068312,-1.6712995971981262,-0.0004222750948082258
60,fzf61,5291.97115925931,fzr61,4568.71279189919,ans61,0.0196868807974448,xdot61,28.0,ydot61,-0.0124628432914141,r61,0.0033353624282367,psi61,0.0006929141843771,wheel_angle61,0.0014582874664774,-0.001736615256432051,-0.00025450509919294946,15.43939799097045,-1.7906514815210566,15.439374709656803,-1.7906514235282611,-0.00044510151672811407
61,fzf62,5291.97074462569,fzr62,4568.71320762418,ans62,0.0200080359344953,xdot62,28.0,ydot62,-0.0131226635776031,r62,0.0034393300657231,psi62,0.000726786500743,wheel_angle62,0.0014820767358885,-0.0017787699635203515,-0.00027212814319165223,15.814173662059256,-1.914644180627556,15.814148643864552,-1.9146441097342883,-0.0004686665220290285
62,fzf63,5291.97030324806,fzr63,4568.71365018676,ans63,0.0203288474793186,xdot63,28.0,ydot63,-0.0138033844123712,r63,0.0035446688620844,psi63,0.0007617053562095,wheel_angle63,0.0015058405540235,-0.0018215768997715503,-0.00029041910682122134,16.19474784257184,-2.043336275918107,16.194720974339518,-2.0433361897472886,-0.0004929779747918396
63,fzf64,5291.96983395808,fzr64,4568.71412076117,ans64,0.0206493099227105,xdot64,28.0,ydot64,-0.0145052219372753,r64,0.0036513705518481,psi64,0.0007976844209513,wheel_angle64,0.0015295785127933,-0.0018650437595536741,-0.0003093861553404408,16.581188928477278,-2.1767852208746965,16.581160090579473,-2.176785116693982,-0.000518043594274661
64,fzf65,5291.9693355611,fzr65,4568.71462054822,ans65,0.020969417761462,xdot65,28.0,ydot65,-0.015228388300831,r65,0.0037594269723454,psi65,0.0008347372830043,wheel_angle65,0.0015532902045526,-0.001909178086506534,-0.0003290373024254,16.973563975061897,-2.315047402816874,16.97353304108222,-2.315047277496939,-0.000543870957119076
65,fzf66,5291.96880683621,fzr66,4568.71515077526,ans66,0.0212891654984535,xdot66,28.0,ydot66,-0.0159730917192114,r66,0.0038688300616167,psi66,0.0008728774492831,wheel_angle66,0.0015769752221076,-0.0019539872755316746,-0.00034938041218606424,17.371938714595068,-2.4581781571094083,17.371905550998967,-2.4581780070785957,-0.0005704674995173839
66,fzf67,5291.96824653629,fzr67,4568.71571269606,ans67,0.0216085476427494,xdot67,28.0,ydot67,-0.0167395365358731,r67,0.0039795718563553,psi67,0.0009121183465775,wheel_angle67,0.0016006331587221,-0.001999478574724058,-0.000370423201126552,17.776377573476513,-2.6062317809744386,17.776342039268894,-2.6062316021695464,-0.0005978405193415046
67,fzf68,5291.96765338809,fzr68,4568.71630759079,ans68,0.0219275587096924,xdot68,28.0,ydot68,-0.01752792328013,r68,0.0040916444898872,psi68,0.000952473322529,wheel_angle68,0.0016242636081254,-0.0020456590872492894,-0.00039217324004953494,18.186943688898847,-2.759261546911143,18.186905635268605,-2.7592613347241395,-0.000625997178234277
68,fzf69,5291.96702609229,fzr69,4568.71693676595,ans69,0.0222461932209974,xdot69,28.0,ydot69,-0.0183384487246924,r69,0.0042050401901871,psi69,0.0009939556465875,wheel_angle69,0.0016478661645183,-0.002092535773162864,-0.00041463795590495093,18.603698924993974,-2.9173197157242017,18.603658194945137,-2.9173194649446423,-0.0006549445036637757
69,fzf70,5291.96636332357,fzr70,4568.71760155428,ans70,0.0225644457048459,xdot70,28.0,ydot70,-0.0191713059421906,r70,0.0043197512779284,psi70,0.0010365785109475,wheel_angle70,0.0016714404225811,-0.002140115451175721,-0.00043782463358341925,19.02670388850161,-3.0804575491637958,19.026660316470707,-3.0804572539167157,-0.0006846893909413296
70,fzf71,5291.96566373072,fzr71,4568.71830331472,ans71,0.0228823106959798,xdot71,28.0,ydot71,-0.0200266843606998,r71,0.0044357701645692,psi71,0.0010803550314658,wheel_angle71,0.00169498597748,-0.0021884048003625854,-0.0004617404176544302,19.456017943928632,-3.2487253221776866,19.45597135538799,-3.24872497585673,-0.000715238605203845
71,fzf72,5291.96492593671,fzr72,4568.71904343225,ans72,0.0231997827357955,xdot72,28.0,ydot72,-0.0209047698182854,r72,0.0045530893504713,psi72,0.0011252982485601,wheel_angle72,0.0017185024248737,-0.002237410361815332,-0.000486392314049757,19.891699228218886,-3.4221723347784345,19.891649439265496,-3.4221719299739837,-0.0007465987833611118
72,fzf73,5291.9641485388,fzr73,4568.71982331789,ans73,0.0235168563724371,xdot73,28.0,ydot73,-0.0218057446165843,r73,0.0046717014230528,psi73,0.001171421128088,wheel_angle73,0.0017419893609212,-0.002287138540242506,-0.0005117871916922215,20.33380466494391,-3.600846923526846,20.333751481873517,-3.600846451948907,-0.0007787764360086502
73,fzf74,5291.96333010859,fzr74,4568.72064440854,ans74,0.0238335261608906,xdot74,28.0,ydot74,-0.022729787573441,r74,0.0047915990549732,psi74,0.0012187365622096,wheel_angle74,0.0017654463822882,-0.002337595605512743,-0.000537931784070163,20.782389977993986,-3.7847964726339005,20.782333196860098,-3.7847959250294925,-0.000811777949306771
74,fzf75,5291.96246919219,fzr75,4568.72150816689,ans75,0.0241497866630771,xdot75,28.0,ydot75,-0.0236770740746141,r75,0.0049127750023506,psi75,0.0012672573702299,wheel_angle75,0.0017888730861538,-0.0023887876941440086,-0.0005648326907578149,21.23750970478745,-3.9740674246827505,21.23744911094486,-3.974066790747542,-0.0008456095868264014
